Sample;Site.no;Cafeteria.ID;Caf;Substrate;Bagtype;Bag_root;Amanita;Amphinema;Cenococcum;Cortinarius;Hyaloscypha;Hygrophorus;Lactarius;Piloderma;Pseudotomentella;Russula;Tomentella_Thelephora;Tylospora
A22;5;22;2;2_A;Sandbag;Bag;0;0,677680378;0,031018206;0;0;0;0;0,014160486;0;0,028320971;0,222521915;0,004720162
A23;5;23;3;2_A;Sandbag;Bag;0;0,693140794;0,198555957;0,003610108;0,000902527;0;0,000902527;0;0;0,002707581;0,098375451;0
A24;5;24;4;2_A;Sandbag;Bag;0;0,820496084;0,054830287;0;0,005874674;0;0,000652742;0,031984334;0;0,076370757;0,001305483;0,004569191
A26;6;26;1;2_A;Sandbag;Bag;0,026019081;0,000867303;0,002601908;0;0;0;0;0,006938422;0;0;0,065915004;0,64180399
A27;6;27;2;2_A;Sandbag;Bag;0,598257502;0;0,026137464;0;0;0;0;0,07357212;0;0;0,004840271;0
A28;6;28;3;2_A;Sandbag;Bag;0;0;0,594040968;0,004655493;0,012104283;0;0;0;0;0;0,013035382;0,02141527
A29;6;29;4;2_A;Sandbag;Bag;0,005924951;0;0,01514154;0;0;0;0;0,032916392;0;0;0,149440421;0,680710994
A3;1;3;3;2_A;Sandbag;Bag;0;0,345140033;0,147446458;0,032125206;0,027182867;0;0;0,003294893;0;0,012355848;0,140856672;0
A30;6;30;5;2_A;Sandbag;Bag;0,004830918;0;0;0;0;0;0;0,022222222;0;0,007729469;0,044444444;0,914009662
A32;7;32;2;2_A;Sandbag;Bag;0;0,837073982;0,018287614;0,000831255;0;0;0;0;0;0,048212801;0;0,095594347
A33;7;33;3;2_A;Sandbag;Bag;0;0,308192458;0,00130039;0;0;0;0;0;0;0;0,391417425;0
A35;7;35;5;2_A;Sandbag;Bag;0;0,409531502;0,070274637;0,274636511;0;0;0;0;0;0;0,049273021;0,191437803
A36;8;36;1;2_A;Sandbag;Bag;0;0,184324324;0;0,040540541;0;0;0;0,007027027;0,703783784;0;0,007567568;0,028108108
A37;8;37;2;2_A;Sandbag;Bag;0;0,511709602;0;0,142857143;0;0;0;0,028103044;0;0;0,317330211;0
A38;8;38;3;2_A;Sandbag;Bag;0;0,377462569;0;0;0;0;0;0,054373522;0;0,000788022;0,404255319;0,012608353
A39;8;39;4;2_A;Sandbag;Bag;0;0,297092288;0;0;0;0;0;0;0,027180784;0;0,185840708;0,482300885
A4;1;4;4;2_A;Sandbag;Bag;0;0,524855491;0,130635838;0,041618497;0;0;0;0;0,008092486;0;0,294797688;0
A40;9;40;5;2_A;Sandbag;Bag;0;0,036444444;0;0;0;0;0;0;0;0;0,014222222;0,040888889
A41;9;41;1;2_A;Sandbag;Bag;0;0;0;0;0,9375;0;0;0,0625;0;0;0;0
A42;9;42;2;2_A;Sandbag;Bag;0;0;0,714828897;0;0;0;0;0;0;0,068441065;0,216730038;0
A43;9;43;3;2_A;Sandbag;Bag;0;0,691666667;0,208333333;0;0,002777778;0;0;0;0;0,002777778;0,091666667;0
A45;9;45;5;2_A;Sandbag;Bag;0;0,015748031;0,976377953;0;0;0;0;0,007874016;0;0;0;0
A47;10;47;2;2_A;Sandbag;Bag;0;0,811133201;0,007289596;0;0;0;0;0;0;0;0,141815772;0
A48;10;48;3;2_A;Sandbag;Bag;0;0,98284561;0;0;0;0;0;0;0;0;0,008577195;0
A50;10;50;5;2_A;Sandbag;Bag;0;0,565582371;0;0;0;0;0,006295908;0,001049318;0,154774397;0,015739769;0,039874082;0,140608604
A6;2;6;1;2_A;Sandbag;Bag;0;0,240040858;0,13278856;0;0;0;0;0;0,615934627;0;0,011235955;0
A7;2;7;2;2_A;Sandbag;Bag;0;0,446043165;0,121648136;0,002289078;0;0,003597122;0;0,000654022;0;0;0,403204709;0
A8;2;8;3;2_A;Sandbag;Bag;0;0,629783694;0,175540765;0;0;0;0;0,001663894;0,131447587;0;0,021630616;0
A9;2;9;4;2_A;Sandbag;Bag;0;0,746146435;0,017822736;0;0;0;0;0;0;0;0,226878613;0
F1;1;1;1;F;Soilbag;Bag;0,002257336;0,006772009;0;0;0;0;0,027088036;0,530474041;0;0;0,415349887;0
F10;2;10;5;F;Soilbag;Bag;0;0,048859935;0;0,042345277;0;0;0,133550489;0,009771987;0;0,013029316;0,599348534;0,120521173
F11;3;11;1;F;Soilbag;Bag;0,464268593;0;0;0;0;0;0;0,00452945;0;0,301208404;0,22420776;0
F12;3;12;2;F;Soilbag;Bag;0,093130331;0,287608376;0;0,000218502;0;0;0;0,013695637;0;0;0,605347154;0
F13;3;13;3;F;Soilbag;Bag;0,011904762;0,083333333;0;0,003968254;0;0;0;0,001984127;0;0,178571429;0,079365079;0,638888889
